UUID,Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format,Variety,Designed In,Made In
140,Nikon,AF-S Nikkor 300mm f/2.8G ED VR II,2009,5497,2900,266.7,124.46,2.8,300,0,1,0,Full-Frame,Long Telephoto,Japan,
141,Nikon,AF-S Nikkor 400mm f/2.8E FL ED VR,2014,11197,3800,357.886,159.512,2.8,400,0,1,0,Full-Frame,Long Telephoto,Japan,
142,Nikon,AF-S Nikkor 14-24mm f/2.8G ED,2007,1897,1000,132.08,96.52,2.8,14-24,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
143,Nikon,AF-S Nikkor 16-35mm f/4G ED VR,2010,1097,680,124.46,81.28,4,16-35,1,1,0,Full-Frame,Ultra Wide Angle,Japan,
144,Nikon,AF-S Nikkor 18-35mm f/3.5-4.5G ED,2013,747,385,94.996,83.058,4.5,18-35,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
145,Nikon,AF-S Nikkor 200-500mm f/5.6E ED VR,2015,1397,2090,267.462,107.95,5.6,200-500,1,1,0,Full-Frame,Long Telephoto,Japan,
146,Nikon,AF-S Nikkor 24-120mm f/4G ED VR,2010,1097,710,104.14,83.82,4,24-120,1,1,0,Full-Frame,Normal,Japan,
147,Nikon,AF-S Nikkor 24-70mm f/2.8G ED,2007,1797,900,132.08,83.82,2.8,24-70,1,0,0,Full-Frame,Normal,Japan,
148,Nikon,AF-S Nikkor 24-70mm f/2.8G ED VR,2015,2397,1070,154.432,87.884,2.8,24-70,1,1,0,Full-Frame,Normal,Japan,
149,Nikon,AF-S Nikkor 24-85mm f/3.5-4.5G ED VR,2012,497,465,81.28,78.74,4.5,24-85,1,1,0,Full-Frame,Normal,Japan,
150,Nikon,AF-S Nikkor 28-300mm f/3.5-5.6G ED VR,2010,947,800,114.3,82.804,5.6,28-300,1,1,0,Full-Frame,Superzoom,Japan,
151,Nikon,AF-S Nikkor 70-200mm f/2.8G ED VR II,2009,2097,1540,205.74,86.36,2.8,70-200,1,1,0,Full-Frame,Telephoto,Japan,
152,Nikon,AF-S Nikkor 70-200mm f/4G ED VR,2012,1397,850,177.8,78.74,4,70-200,1,1,0,Full-Frame,Telephoto,Japan,
153,Nikon,AF-S VR Zoom-Nikkor 70-300mm f/4.5-5.6G IF-ED,2006,497,745,142.24,78.74,5.6,70-300,1,1,0,Full-Frame,Telephoto,Japan,
154,Nikon,AF-S Nikkor 80-400mm f/4.5-5.6G ED VR,2013,2297,1570,203.2,96.52,5.6,80-400,1,1,0,Full-Frame,Long Telephoto,Japan,
155,Nikon,AF-S Nikkor 35mm f/1.8G ED DX,2009,200,210,52.5,70,1.8,35,0,0,0,APS-C,Normal,Japan,
156,Nikon,PC-E Nikkor 19mm f/4E ED Tilt-Shift,2016,3397,885,124,89,4,19,0,0,0,Full-Frame,Tilt Shift,Japan,
157,Nikon,AF-S Nikkor 70-200mm f/2.8E FL ED VR,2016,2797,1430,202.5,88.5,2.8,70-200,1,1,0,Full-Frame,Telephoto,Japan,
158,Nikon,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED VR,2016,397,415,125,72,4.5,70-300,1,1,0,APS-C,Telephoto,Japan,
159,Nikon,AF-S Nikkor 105mm f/1.4E ED,2016,2197,985,106,94.5,1.4,105,0,0,0,Full-Frame,Short Telephoto,Japan,
160,Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G,2016,197,195,62.5,64.5,3.5,18-55,1,0,0,APS-C,Normal,Japan,
161,Nikon ,AF-P DX Nikkor 70-300mm f/4.5-6.3G ED,2016,347,400,125,72,4.5,70-300,1,0,0,APS-C,Long Telephoto,Japan,
162,Nikon ,AF-P DX Nikkor 18-55mm f/3.5-5.6G VR,2016,247,205,62.5,64.5,3.5,18-55,1,1,0,APS-C,Normal,Japan,
163,Olympus,M.Zuiko Digital ED 30mm f/3.5 Macro,2016,299,128,60,57,3.5,30,0,0,0,Micro Four Thirds,Macro,Japan,
164,Olympus,M.Zuiko Digital ED 25mm f/1.2 PRO,2016,1199,410,87,70,1.2,25,0,0,0,Micro Four Thirds,Normal,Japan,
165,Olympus,M.Zuiko Digital ED 12-100mm f/4 IS PRO,2016,1299,561,116.5,77.5,4,12-100,1,1,0,Micro Four Thirds,Normal,Japan,
166,Samyang,14mm f/2.8 IF ED UMC,2009,299,552,96.012,87.122,2.8,14,0,0,0,Full-Frame,Ultra Wide Angle,Korea,Korea
167,Samyang,Xeen 14mm T3.1,2016,2145,1170,88.3,117.6,2.8,14,0,0,1,Full-Frame,Ultra Wide Angle,Korea,Korea
168,Samyang,24mm f/1.4 ED AS UMC,2011,549,634.2,97.536,83.058,1.4,24,0,0,0,Full-Frame,Wide Angle,Korea,Korea
169,Samyang,Xeen 24mm T1.5,2015,2145,1180,121.7,117.6,1.4,24,0,0,1,Full-Frame,Wide Angle,Korea,Korea
170,Samyang,35mm f/1.4 AS UMC,2010,407,710,111.506,83.058,1.4,35,0,0,0,Full-Frame,Wide Angle,Korea,Korea
171,Samyang,Xeen 35mm T1.5,2016,2145,1375,121.7,117.6,1.4,35,0,0,1,Full-Frame,Wide Angle,Korea,Korea
172,Samyang,50mm f/1.4 AS IF UMC,2014,399,536,73.66,81.28,1.4,50,0,0,0,Full-Frame,Normal,Korea,Korea
173,Samyang,Xeen 50mm T1.5,2015,2145,1160,121.7,117.6,1.4,50,0,0,1,Full-Frame,Normal,Korea,Korea
174,Samyang,85mm f/1.4 AS IF UMC,2009,267,540,74.676,77.978,1.4,85,0,0,0,Full-Frame,Short Telephoto,Korea,Korea
175,Samyang,Xeen 85mm T1.5,2015,2145,1245,121.7,117.6,1.4,85,0,0,1,Full-Frame,Short Telephoto,Korea,Korea
176,Samyang,AF 50mm f/1.4 FE,2016,700,585,98,67,1.4,50,0,0,0,Full-Frame,Normal,Korea,Korea
177,Samyang,Xeen 135mm T2.2,2016,2195,2500,122,118,2.2,135,0,1,1,Full-Frame,Medium Telephoto,Korea,Korea
178,Schneider,PC-TS Super-Angulon 28mm f/4.5 HM Aspheric,2014,8288,1610,144.78,124.968,4.5,28,0,0,0,Full-Frame,Tilt Shift,Germany,Germany
179,Schneider,PC-TS Super-Angulon 50mm f/2.8 HM,2010,3365,1400,107.95,129.032,2.8,50,0,0,0,Full-Frame,Tilt Shift,Germany,Germany
180,Schneider,PC-TS Makro-Symmar 90mm f/4.5 HM,2010,3180,1110,138.684,107.95,4.5,90,0,0,0,Full-Frame,Tilt Shift,Germany,Germany
181,Sigma,19mm f/2.8 DN Art,2012,199,150,45.72,60.706,2.8,19,0,0,0,Micro Four Thirds,Wide Angle,Japan,
182,Sigma,20mm f/1.4 DG HSM Art,2015,899,950,129.794,90.678,1.4,20,0,0,0,Full-Frame,Ultra Wide Angle,Japan,
